,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
131,2023-07-13T00:00:00.000Z,124.83,125.335,121.06,121.54,31535853,124.5222731283,125.0260282186,120.7615668101,121.2403835297,31535853,0.0,1.0
132,2023-07-14T00:00:00.000Z,125.7,127.09,124.9,125.13,20499780,125.3901284325,126.7767018495,124.5921005665,124.821533578,20499780,0.0,1.0
133,2023-07-17T00:00:00.000Z,125.06,127.28,124.5,126.06,20675297,124.7517061397,126.9662334676,124.1930866336,125.7492409721,20675297,0.0,1.0
134,2023-07-18T00:00:00.000Z,124.08,124.99,123.3,124.905,21071248,123.774122004,124.6818787015,122.9960448347,124.5970882407,21071248,0.0,1.0
135,2023-07-19T00:00:00.000Z,122.78,125.47,122.47,124.79,22313803,122.4773267219,125.160695421,122.1680909238,124.482371735,22313803,0.0,1.0
136,2023-07-20T00:00:00.000Z,119.53,124.7,118.685,122.12,27541711,119.2353385166,124.3925936001,118.3924215832,121.8189537325,27541711,0.0,1.0
137,2023-07-21T00:00:00.000Z,120.31,121.3,119.07,120.87,56514645,120.0134156858,121.0009751699,118.7764724937,120.572035192,56514645,0.0,1.0
138,2023-07-24T00:00:00.000Z,121.88,123.35,121.38,121.926,22312220,121.5795453727,123.0459215763,121.0807779565,121.625431975,22312220,0.0,1.0
139,2023-07-25T00:00:00.000Z,122.79,123.69,121.53,121.88,31820846,122.4873020702,123.3850834193,121.2304081814,121.5795453727,31820846,0.0,1.0
140,2023-07-26T00:00:00.000Z,129.66,131.37,128.71,130.36,46216895,129.3403663688,131.0461509322,128.392708278,130.0386407514,46216895,0.0,1.0
141,2023-07-27T00:00:00.000Z,129.87,133.6,129.18,131.8,35931612,129.5498486836,133.2706536084,128.8615496492,131.4750909101,35931612,0.0,1.0
142,2023-07-28T00:00:00.000Z,133.01,134.07,130.92,130.97,26971011,132.6821080573,133.7394949796,130.5972602576,130.6471369992,26971011,0.0,1.0
143,2023-07-31T00:00:00.000Z,133.11,133.83,132.13,133.01,18381891,132.7818615405,133.5000866199,131.8042774048,132.6821080573,18381891,0.0,1.0
144,2023-08-01T00:00:00.000Z,131.89,132.92,130.75,130.855,22219012,131.564869045,132.5923299224,130.4276793361,130.5324204935,22219012,0.0,1.0
145,2023-08-02T00:00:00.000Z,128.64,130.42,127.85,129.84,22705778,128.3228808397,130.0984928414,127.5348283221,129.5199226386,22705778,0.0,1.0
146,2023-08-03T00:00:00.000Z,128.77,129.77,127.775,128.37,15086132,128.4525603679,129.4500952003,127.4600132097,128.053546435,15086132,0.0,1.0
147,2023-08-04T00:00:00.000Z,128.54,131.93,128.315,129.6,20521852,128.2231273565,131.6047704383,127.9986820192,129.2805142788,20521852,0.0,1.0
148,2023-08-07T00:00:00.000Z,131.94,132.06,129.43,129.51,17621041,131.6147457866,131.7344499665,129.1109333573,129.1907361439,17621041,0.0,1.0
149,2023-08-08T00:00:00.000Z,131.84,131.94,130.13,130.98,16835952,131.5149923034,131.6147457866,129.80920774,130.6571123475,16835952,0.0,1.0
150,2023-08-09T00:00:00.000Z,130.15,132.47,129.505,132.19,17745218,129.8291584366,132.1434392478,129.1857484697,131.8641294947,17745218,0.0,1.0
151,2023-08-10T00:00:00.000Z,130.21,132.647,130.035,131.97,17855681,129.8890105266,132.3200029131,129.7144419309,131.6446718316,17855681,0.0,1.0
152,2023-08-11T00:00:00.000Z,130.17,130.44,128.75,129.202,15205465,129.8491091333,130.118443538,128.4326096713,128.8834954155,15205465,0.0,1.0
153,2023-08-14T00:00:00.000Z,131.83,131.91,129.59,129.85,17526195,131.5050169551,131.5848197417,129.2705389305,129.5298979869,17526195,0.0,1.0
154,2023-08-15T00:00:00.000Z,130.27,131.99,129.819,131.59,14769173,129.9488626165,131.6646225282,129.4989744071,131.2656085953,14769173,0.0,1.0
155,2023-08-16T00:00:00.000Z,129.11,130.8975,128.46,129.28,17548355,128.7917222109,130.5748157239,128.1433245699,128.9613031324,17548355,0.0,1.0
156,2023-08-17T00:00:00.000Z,130.46,132.4913,129.85,130.45,23665562,130.1383942347,132.1646867397,129.5298979869,130.1284188864,23665562,0.0,1.0
157,2023-08-18T00:00:00.000Z,128.11,129.83,127.0,129.06,23627202,127.7941873785,129.5099472903,126.6869237146,128.7418454693,23627202,0.0,1.0
158,2023-08-21T00:00:00.000Z,128.93,129.26,127.16,127.85,21851070,128.6121659411,128.9413524358,126.8465292878,127.5348283221,21851070,0.0,1.0
159,2023-08-22T00:00:00.000Z,129.69,130.95,128.925,129.13,15569373,129.3702924137,130.6271863026,128.6071782669,128.8116729076,15569373,0.0,1.0
160,2023-08-23T00:00:00.000Z,133.21,134.07,130.51,130.85,26497027,132.8816150238,133.7394949796,130.1882709763,130.5274328193,26497027,0.0,1.0
161,2023-08-24T00:00:00.000Z,130.42,134.97,130.3,134.7272,18680381,130.0984928414,134.6372763288,129.9787886615,134.3950748715,18680381,0.0,1.0
